Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,02/03/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,02/03/2015,11443
Cumulative number of confirmed Ebola cases,Sierra Leone,02/03/2015,8353
Cumulative number of probable Ebola cases,Sierra Leone,02/03/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,02/03/2015,2803
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,02/03/2015,3530
Cumulative number of confirmed Ebola deaths,Sierra Leone,02/03/2015,3164
Cumulative number of probable Ebola deaths,Sierra Leone,02/03/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,02/03/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,02/03/2015,1
Cumulative number of confirmed Ebola cases,Mali,02/03/2015,7
Cumulative number of probable Ebola cases,Mali,02/03/2015,1
Cumulative number of suspected Ebola cases,Mali,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,02/03/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,02/03/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,02/03/2015,19
Cumulative number of probable Ebola cases,Nigeria,02/03/2015,1
Cumulative number of suspected Ebola cases,Nigeria,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,02/03/2015,20
Cumulative number of confirmed Ebola cases,Senegal,02/03/2015,1
Cumulative number of probable Ebola cases,Senegal,02/03/2015,0
Cumulative number of suspected Ebola cases,Senegal,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,02/03/2015,1
Cumulative number of confirmed Ebola cases,Spain,02/03/2015,1
Cumulative number of probable Ebola cases,Spain,02/03/2015,0
Cumulative number of suspected Ebola cases,Spain,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,02/03/2015,1
Cumulative number of confirmed Ebola cases,United States of America,02/03/2015,4
Cumulative number of probable Ebola cases,United States of America,02/03/2015,0
Cumulative number of suspected Ebola cases,United States of America,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,02/03/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,02/03/2015,7
Cumulative number of probable Ebola deaths,Nigeria,02/03/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,02/03/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,02/03/2015,0
Cumulative number of probable Ebola deaths,Senegal,02/03/2015,0
Cumulative number of suspected Ebola deaths,Senegal,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,02/03/2015,0
Cumulative number of confirmed Ebola deaths,Spain,02/03/2015,0
Cumulative number of probable Ebola deaths,Spain,02/03/2015,0
Cumulative number of suspected Ebola deaths,Spain,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,02/03/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,02/03/2015,1
Cumulative number of probable Ebola deaths,United States of America,02/03/2015,0
Cumulative number of suspected Ebola deaths,United States of America,02/03/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,02/03/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,27/02/2015,1
Cumulative number of probable Ebola cases,United Kingdom,27/02/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,27/02/2015,3190
Cumulative number of confirmed Ebola cases,Guinea,27/02/2015,2790
Cumulative number of probable Ebola cases,Guinea,27/02/2015,392
Cumulative number of suspected Ebola cases,Guinea,27/02/2015,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,27/02/2015,2113
Cumulative number of confirmed Ebola deaths,Guinea,27/02/2015,1721
Cumulative number of probable Ebola deaths,Guinea,27/02/2015,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,27/02/2015,9265
Cumulative number of confirmed Ebola cases,Liberia,27/02/2015,3153
Cumulative number of probable Ebola cases,Liberia,27/02/2015,1888
Cumulative number of suspected Ebola cases,Liberia,27/02/2015,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,27/02/2015,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,27/02/2015,11370
Cumulative number of confirmed Ebola cases,Sierra Leone,27/02/2015,8320
Cumulative number of probable Ebola cases,Sierra Leone,27/02/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,27/02/2015,2763
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,27/02/2015,3490
Cumulative number of confirmed Ebola deaths,Sierra Leone,27/02/2015,3124
Cumulative number of probable Ebola deaths,Sierra Leone,27/02/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,27/02/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,27/02/2015,1
Cumulative number of confirmed Ebola cases,Mali,27/02/2015,7
Cumulative number of probable Ebola cases,Mali,27/02/2015,1
Cumulative number of suspected Ebola cases,Mali,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,27/02/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,27/02/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,27/02/2015,19
Cumulative number of probable Ebola cases,Nigeria,27/02/2015,1
Cumulative number of suspected Ebola cases,Nigeria,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,27/02/2015,20
Cumulative number of confirmed Ebola cases,Senegal,27/02/2015,1
Cumulative number of probable Ebola cases,Senegal,27/02/2015,0
Cumulative number of suspected Ebola cases,Senegal,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,27/02/2015,1
Cumulative number of confirmed Ebola cases,Spain,27/02/2015,1
Cumulative number of probable Ebola cases,Spain,27/02/2015,0
Cumulative number of suspected Ebola cases,Spain,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,27/02/2015,1
Cumulative number of confirmed Ebola cases,United States of America,27/02/2015,4
Cumulative number of probable Ebola cases,United States of America,27/02/2015,0
Cumulative number of suspected Ebola cases,United States of America,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,27/02/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,27/02/2015,7
Cumulative number of probable Ebola deaths,Nigeria,27/02/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,27/02/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,27/02/2015,0
Cumulative number of probable Ebola deaths,Senegal,27/02/2015,0
Cumulative number of suspected Ebola deaths,Senegal,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,27/02/2015,0
Cumulative number of confirmed Ebola deaths,Spain,27/02/2015,0
Cumulative number of probable Ebola deaths,Spain,27/02/2015,0
Cumulative number of suspected Ebola deaths,Spain,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,27/02/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,27/02/2015,1
Cumulative number of probable Ebola deaths,United States of America,27/02/2015,0
Cumulative number of suspected Ebola deaths,United States of America,27/02/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,27/02/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,26/02/2015,1
Cumulative number of probable Ebola cases,United Kingdom,26/02/2015,0
