Indicator,Country,Date,value
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,18/09/2014,39
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,18/09/2014,26
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,18/09/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,18/09/2014,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,18/09/2014,29
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,18/09/2014,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,18/09/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,18/09/2014,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,18/09/2014,100
Cumulative number of confirmed Ebola deaths,Guinea,18/09/2014,435
Cumulative number of probable Ebola deaths,Guinea,18/09/2014,161
Cumulative number of suspected Ebola deaths,Guinea,18/09/2014,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,18/09/2014,601
Cumulative number of confirmed Ebola deaths,Liberia,18/09/2014,631
Cumulative number of probable Ebola deaths,Liberia,18/09/2014,518
Cumulative number of suspected Ebola deaths,Liberia,18/09/2014,310
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,18/09/2014,1459
Cumulative number of confirmed Ebola deaths,Sierra Leone,18/09/2014,517
Cumulative number of probable Ebola deaths,Sierra Leone,18/09/2014,34
Cumulative number of suspected Ebola deaths,Sierra Leone,18/09/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,18/09/2014,562
Cumulative number of confirmed Ebola deaths,Nigeria,18/09/2014,7
Cumulative number of probable Ebola deaths,Nigeria,18/09/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,18/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,18/09/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,18/09/2014,0
Cumulative number of probable Ebola deaths,Senegal,18/09/2014,0
Cumulative number of suspected Ebola deaths,Senegal,18/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,18/09/2014,0
Cumulative number of confirmed Ebola cases,Guinea,16/09/2014,743
Cumulative number of probable Ebola cases,Guinea,16/09/2014,162
Cumulative number of suspected Ebola cases,Guinea,16/09/2014,31
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,16/09/2014,936
Cumulative number of confirmed Ebola cases,Liberia,16/09/2014,790
Cumulative number of probable Ebola cases,Liberia,16/09/2014,1078
Cumulative number of suspected Ebola cases,Liberia,16/09/2014,539
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,16/09/2014,2407
Cumulative number of confirmed Ebola cases,Sierra Leone,16/09/2014,1464
Cumulative number of probable Ebola cases,Sierra Leone,16/09/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,16/09/2014,119
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,16/09/2014,1620
Cumulative number of confirmed Ebola cases,Nigeria,16/09/2014,19
Cumulative number of probable Ebola cases,Nigeria,16/09/2014,1
Cumulative number of suspected Ebola cases,Nigeria,16/09/2014,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,16/09/2014,21
Cumulative number of confirmed Ebola cases,Senegal,16/09/2014,1
Cumulative number of probable Ebola cases,Senegal,16/09/2014,0
Cumulative number of suspected Ebola cases,Senegal,16/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,16/09/2014,1
Number of confirmed Ebola cases in the last 21 days,Guinea,16/09/2014,276
Number of probable Ebola cases in the last 21 days,Guinea,16/09/2014,21
Number of suspected Ebola cases in the last 21 days,Guinea,16/09/2014,11
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,16/09/2014,308
Number of confirmed Ebola cases in the last 21 days,Liberia,16/09/2014,546
Number of probable Ebola cases in the last 21 days,Liberia,16/09/2014,539
Number of suspected Ebola cases in the last 21 days,Liberia,16/09/2014,298
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,16/09/2014,1383
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,16/09/2014,583
Number of probable Ebola cases in the last 21 days,Sierra Leone,16/09/2014,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,16/09/2014,70
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,16/09/2014,653
Number of confirmed Ebola cases in the last 21 days,Nigeria,16/09/2014,6
Number of probable Ebola cases in the last 21 days,Nigeria,16/09/2014,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,16/09/2014,6
Number of confirmed Ebola cases in the last 21 days,Senegal,16/09/2014,1
Number of probable Ebola cases in the last 21 days,Senegal,16/09/2014,0
Number of suspected Ebola cases in the last 21 days,Senegal,16/09/2014,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,16/09/2014,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,16/09/2014,37
Proportion of probable Ebola cases that are from the last 21 days,Guinea,16/09/2014,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,16/09/2014,35
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,16/09/2014,33
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,16/09/2014,69
Proportion of probable Ebola cases that are from the last 21 days,Liberia,16/09/2014,50
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,16/09/2014,55
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,16/09/2014,57
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,16/09/2014,40
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,16/09/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,16/09/2014,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,16/09/2014,40
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,16/09/2014,32
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,16/09/2014,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,16/09/2014,29
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,16/09/2014,100
Proportion of probable Ebola cases that are from the last 21 days,Senegal,16/09/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,16/09/2014,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,16/09/2014,100
Cumulative number of confirmed Ebola deaths,Guinea,16/09/2014,429
Cumulative number of probable Ebola deaths,Guinea,16/09/2014,162
Cumulative number of suspected Ebola deaths,Guinea,16/09/2014,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,16/09/2014,595
Cumulative number of confirmed Ebola deaths,Liberia,16/09/2014,563
Cumulative number of probable Ebola deaths,Liberia,16/09/2014,472
Cumulative number of suspected Ebola deaths,Liberia,16/09/2014,261
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,16/09/2014,1296
Cumulative number of confirmed Ebola deaths,Sierra Leone,16/09/2014,514
Cumulative number of probable Ebola deaths,Sierra Leone,16/09/2014,37
Cumulative number of suspected Ebola deaths,Sierra Leone,16/09/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,16/09/2014,562
Cumulative number of confirmed Ebola deaths,Nigeria,16/09/2014,7
Cumulative number of probable Ebola deaths,Nigeria,16/09/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,16/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,16/09/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,16/09/2014,0
Cumulative number of probable Ebola deaths,Senegal,16/09/2014,0
Cumulative number of suspected Ebola deaths,Senegal,16/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,16/09/2014,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,16/09/2014,58
Case fatality rate (CFR) of probable Ebola cases,Guinea,16/09/2014,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,16/09/2014,13
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,16/09/2014,64
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,16/09/2014,71
Case fatality rate (CFR) of probable Ebola cases,Liberia,16/09/2014,44
Case fatality rate (CFR) of suspected Ebola cases,Liberia,16/09/2014,48
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,16/09/2014,54
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,16/09/2014,35
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,16/09/2014,100
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,16/09/2014,9
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,16/09/2014,35
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,16/09/2014,37
Case fatality rate (CFR) of probable Ebola cases,Nigeria,16/09/2014,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,16/09/2014,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,16/09/2014,38
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,16/09/2014,0
Case fatality rate (CFR) of probable Ebola cases,Senegal,16/09/2014,0
Case fatality rate (CFR) of suspected Ebola cases,Senegal,16/09/2014,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,16/09/2014,0
Cumulative number of confirmed Ebola cases,Guinea,12/09/2014,678
Cumulative number of probable Ebola cases,Guinea,12/09/2014,151
Cumulative number of suspected Ebola cases,Guinea,12/09/2014,32
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,12/09/2014,861
Cumulative number of confirmed Ebola cases,Liberia,12/09/2014,654
Cumulative number of probable Ebola cases,Liberia,12/09/2014,974
Cumulative number of suspected Ebola cases,Liberia,12/09/2014,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,12/09/2014,2081
Cumulative number of confirmed Ebola cases,Sierra Leone,12/09/2014,1287
Cumulative number of probable Ebola cases,Sierra Leone,12/09/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,12/09/2014,100
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,12/09/2014,1424
Cumulative number of confirmed Ebola cases,Nigeria,12/09/2014,19
Cumulative number of probable Ebola cases,Nigeria,12/09/2014,1
Cumulative number of suspected Ebola cases,Nigeria,12/09/2014,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,12/09/2014,21
Cumulative number of confirmed Ebola cases,Senegal,12/09/2014,1
Cumulative number of probable Ebola cases,Senegal,12/09/2014,0
Cumulative number of suspected Ebola cases,Senegal,12/09/2014,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,12/09/2014,3
Number of confirmed Ebola cases in the last 21 days,Guinea,12/09/2014,285
Number of probable Ebola cases in the last 21 days,Guinea,12/09/2014,12
Number of suspected Ebola cases in the last 21 days,Guinea,12/09/2014,27
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,12/09/2014,324
Number of confirmed Ebola cases in the last 21 days,Liberia,12/09/2014,394
Number of probable Ebola cases in the last 21 days,Liberia,12/09/2014,506
Number of suspected Ebola cases in the last 21 days,Liberia,12/09/2014,286
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,12/09/2014,1186
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,12/09/2014,518
Number of probable Ebola cases in the last 21 days,Sierra Leone,12/09/2014,3
Number of suspected Ebola cases in the last 21 days,Sierra Leone,12/09/2014,65
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,12/09/2014,586
Number of confirmed Ebola cases in the last 21 days,Nigeria,12/09/2014,7
Number of probable Ebola cases in the last 21 days,Nigeria,12/09/2014,1
Number of suspected Ebola cases in the last 21 days,Nigeria,12/09/2014,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,12/09/2014,9
Number of confirmed Ebola cases in the last 21 days,Senegal,12/09/2014,1
Number of probable Ebola cases in the last 21 days,Senegal,12/09/2014,0
Number of suspected Ebola cases in the last 21 days,Senegal,12/09/2014,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,12/09/2014,3
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,12/09/2014,42
Proportion of probable Ebola cases that are from the last 21 days,Guinea,12/09/2014,8
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,12/09/2014,84
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,12/09/2014,38
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,12/09/2014,60
Proportion of probable Ebola cases that are from the last 21 days,Liberia,12/09/2014,52
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,12/09/2014,63
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,12/09/2014,57
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,12/09/2014,40
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,12/09/2014,8
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,12/09/2014,65
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,12/09/2014,41
